loan_amount,payments_term,monthly_payment,grade,working_years,home,annual_income,verification,purpose,debt_to_income,delinquency,inquiries,open_credit_lines,derogatory_records,revolving_balance,revolving_rate,total_accounts,bankruptcies,fico_average,loan_risk
14000,36 months,455.84,2,5,Rent,95000,Not Verified,car,1.28,0,0,5,0,2085,53.5,8,0,727,Fully Paid
25000,60 months,437.01,2,5,Rent,60000,Verified,debt_consolidation,14.14,0,0,9,0,13482,34.8,26,0,757,Charged Off
3000,36 months,97.72,2,7,Rent,63372,Verified,car,9.16,0,0,4,0,1399,17.3,6,0,732,Fully Paid
2000,36 months,67.94,3,10,Rent,99996,Not Verified,debt_consolidation,14.04,0,1,8,0,44489,97.6,17,0,687,Fully Paid
23325,60 months,586.99,4,8,Mortgage,48800,Verified,medical,23.48,0,3,16,0,15529,46.2,39,0,702,Fully Paid
15000,36 months,466.67,1,1,Mortgage,95004,Verified,other,19.39,0,1,10,0,58905,37.3,30,0,782,Fully Paid
9000,36 months,273.92,1,5,Rent,65000,Verified,debt_consolidation,15.03,0,1,10,0,11997,21.8,30,0,782,Fully Paid
10000,36 months,312.19,1,10,Mortgage,70000,Verified,home_improvement,15.1,0,1,9,0,9109,73.2,28,0,797,Fully Paid
17000,36 months,553.27,2,10,Rent,90000,Verified,debt_consolidation,24.68,0,0,8,0,16148,54,33,0,717,Fully Paid
13600,36 months,445.19,2,3,Own,53400,Source Verified,small_business,4.13,0,0,11,0,1372,7.8,14,0,722,Fully Paid
5200,36 months,159.66,1,10,Mortgage,49536,Not Verified,car,9.08,0,2,6,0,10572,44,29,0,757,Fully Paid
16000,60 months,283.57,3,4,Rent,200000,Source Verified,wedding,5.26,0,1,10,0,32710,79,22,0,712,Fully Paid
21250,60 months,525.5,4,5,Mortgage,42500,Verified,debt_consolidation,19.93,0,2,7,0,18352,62.7,13,0,717,Fully Paid
13000,36 months,465.24,4,6,Rent,67000,Verified,debt_consolidation,20.61,0,1,19,0,16467,45,23,0,662,Fully Paid
5500,36 months,165.88,1,10,Mortgage,240000,Source Verified,car,5.75,0,1,9,0,1599,29.1,38,0,787,Fully Paid
5850,36 months,203.37,4,10,Rent,23500,Source Verified,car,2.86,0,3,3,2,858,85.8,5,0,667,Fully Paid
10000,36 months,311.11,1,3,Rent,40000,Source Verified,debt_consolidation,3.54,0,0,5,0,5503,21.1,22,0,782,Fully Paid
10000,36 months,329.69,2,7,Rent,32647.6,Not Verified,major_purchase,18.19,0,0,6,0,0,0,9,0,782,Fully Paid
10400,36 months,322.88,1,5,Own,48000,Not Verified,car,12.07,0,1,6,0,21326,37.9,14,0,727,Fully Paid
25000,36 months,549.8,2,10,Mortgage,140000,Source Verified,debt_consolidation,10.6,0,0,14,0,22912,49.5,28,0,727,Fully Paid
10000,36 months,305,1,10,Mortgage,120000,Verified,other,1.55,0,0,4,0,4279,29.1,15,0,772,Fully Paid
10000,36 months,307.04,1,5,Mortgage,74000,Source Verified,major_purchase,17.79,0,2,10,0,39410,52.4,38,0,747,Fully Paid
5000,36 months,161.53,2,4,Rent,42000,Not Verified,major_purchase,21.77,0,1,3,0,13,1.9,5,0,762,Fully Paid
12500,60 months,309.92,4,7,Mortgage,25000,Verified,debt_consolidation,15.31,0,0,7,1,8150,79.9,21,1,687,Fully Paid
8000,36 months,261.89,2,10,Mortgage,89000,Verified,debt_consolidation,19.02,0,0,15,0,26339,40.7,23,0,707,Fully Paid
5000,36 months,150.8,1,4,Rent,15600,Not Verified,debt_consolidation,9.77,0,0,5,0,3878,47,9,0,772,Fully Paid
25000,36 months,519.66,2,2,Mortgage,83000,Verified,debt_consolidation,11.9,0,0,19,0,24013,43.5,35,0,727,Fully Paid
25000,36 months,869.21,4,10,Rent,170000,Verified,debt_consolidation,17.25,0,0,6,0,62950,79.3,23,0,702,Fully Paid
15000,36 months,483.94,2,4,Rent,75000,Verified,debt_consolidation,16.56,0,0,8,0,8988,66.6,19,0,732,Fully Paid
17425,60 months,379.82,2,9,Mortgage,73000,Verified,debt_consolidation,28.24,0,0,16,0,22806,36.7,40,0,752,Fully Paid
16800,36 months,512.39,1,2,Mortgage,143000,Source Verified,debt_consolidation,11.83,0,2,8,0,21936,58.7,26,0,752,Fully Paid
